,rank,tax_id,tax_name,colind,CC11CM22,CC11CM5,CC11CM20,CC11CM12,CC11CM68,CC11CM2,CC11CM58,CC11CM95,CC11CM17,CC11CM87,CC11CM48,CC11CM35,CC11CM66,CC11CM1,CC11CM84,CC11CM33,CC11CM21,CC11CM39,CC11CM0,CC11CM63,CC11CM44,CC11CM55,CC11CM41,CC11CM25,CC11CM69,CC11CM11,CC11CM89,CC11CM96,CC11CM47,CC11CM40,CC11CM83,CC11CM15,CC11CM70,CC11CM73,CC11CM7,CC11CM6,CC11CM18,CC11CM98,CC11CM36,CC11CM8,CC11CM82,CC11CM26,CC11CM9,CC11CM94,CC11CM78,CC11CM81,CC11CM38,CC11CM75,CC11CM28,CC11CM32,CC11CM88,CC11CM54,CC11CM16,CC11CM4,CC11CM67,CC11CM27,CC11CM79,CC11CM72,CC11CM42,CC11CM76,CC11CM77,CC11CM57,CC11CM56,CC11CM62,CC11CM99,CC11CM64,CC11CM37,CC11CM10,CC11CM97,CC11CM93,CC11CM23,CC11CM61,CC11CM14,CC11CM59,CC11CM60,CC11CM46,CC11CM45,CC11CM53,CC11CM43,CC11CM71,CC11CM3,CC11CM86,CC11CM29,CC11CM31,CC11CM30,CC11CM19,CC11CM85,CC11CM80,CC11CM24,CC11CM52,CC11CM91,CC11CM90,CC11CM13,CC11CM92,CC11CM51,CC11CM65,CC11CM74,CC11CM34,CC11CM50,CC11CM49
390,superkingdom,2,Bacteria,JN713349.1.1483,,,,,,,,,4972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296.0,,,,,,,,,,,,,,,,,2513.0,,,,,,,,,,796.0,,,,,,,,,,,,,,,,,,,,,,,,
391,superkingdom,2,Bacteria,JN713355.1.1476,,,,,,,,,742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,
392,genus,551771,Vulcanibacillus,JX099551.1.1438,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,order,135619,Oceanospirillales,JX173524.1.1368,,,,,,,,,163.0,,,,,,,,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,genus,551771,Vulcanibacillus,JX986969.1.1500,,,,,,,,,734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,phylum,1224,Proteobacteria,KF536746.1.1439,,,,,,,,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,order,85006,Micrococcales,KF537630.1.1368,,,,,,,,,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,162.0,,552.0,,,,,,66.0,,,,,,,,157.0,,,,
397,genus,551771,Vulcanibacillus,LC019782.1.1425,,,,,,,,,624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063.0,,,,3211.0,,,,,,,,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,superkingdom,2,Bacteria,NR_042499.1,,,,,,,,,2159.0,,,,,,,,,,,,,,,,,,,,,,,582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1844.0,,,,,,,,,,,,,,,,,2209.0
399,genus,551771,Vulcanibacillus,NR_042940.1,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,genus,1434702,Taibaiella,NR_109439.1,,,,,,,,,115.0,,2573.0,,,,,,287.0,,,,201.0,,,,,3362.0,1032.0,,,,,,,,,1496.0,,,,,,,,,2459.0,,,,,,,,,,,2324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3012.0,2684.0,,,,,,,,,,,,
401,phylum,1239,Firmicutes,NR_113360.1,,,,,,,,,660.0,,,,,,,,,,,,,,,,,,,,1252.0,,,,,,,,,,786.0,,,,,,,,,,,,556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472.0,,,,,,,,,,,,,,,
402,superkingdom,2,Bacteria,NR_114889.1,,,,,,,,,100.0,,,,,,,,,,,,,209.0,,,,,,,,,,,,,,,,586.0,,,,,292.0,,,,,,,,,,,,,,,,,,,,,1354.0,,,,,,,,,,,,,1555.0,,,,,,,,,,,,,,,,,,,,,,,
403,superkingdom_,1783272,Terrabacteria group,NR_117133.2,,,,,,,,,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,genus,551771,Vulcanibacillus,Y17358.1.1377,,,,,,,,,2525.0,,,,,,,,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,genus,551771,Vulcanibacillus,AAXA02000006.102304.103822,,,,,,,,,,2556.0,,,,854.0,,,,,,,,,,,519.0,,,,,,2170.0,,,,,,,,,38.0,,,,,565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,superkingdom,2,Bacteria,AB036759.1.1480,,,,,,,,,,24.0,,,,11.0,,,,,9.0,,,,3.0,,,,,,,4.0,,,,,,,3.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,11.0,,,,8.0,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,5.0,,8.0,
407,phylum,1239,Firmicutes,ACVX01000081.60.1580,,,,,,,,,,581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,genus,551771,Vulcanibacillus,AF028350.1.1486,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,
409,genus,551771,Vulcanibacillus,AJ297217.1.1479,,,,,,,,,,3876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1572.0,,,,,,,,,,,,,,,,,,,,,,941.0,,,,,,,,,,
410,order,135619,Oceanospirillales,AJ854063.1.1534,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,
411,genus,551771,Vulcanibacillus,AYRP01000046.3341.4885,,,,,,,,,,838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,superkingdom_,1783272,Terrabacteria group,CP001859.636990.638534,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,
413,genus,376488,Halotalea,CP009158.1442803.1444407,,,,,,,,,,2937.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,genus,551771,Vulcanibacillus,EF025906.1.1521,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979.0,,,,,,,,,,,,,,,,,424.0,,,,,,,,,,,,,,,,,,,,,,,,1186.0,,,,,,,,,,,,,,,,,
415,genus,551771,Vulcanibacillus,EF364097.1.1430,,,,,,,,,,1730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,phylum,1239,Firmicutes,FJ489246.1.1486,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,genus,1434702,Taibaiella,FJ822435.1.1357,,,,,,,,,,425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,genus,551771,Vulcanibacillus,GU585585.1.1334,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,genus,551771,Vulcanibacillus,HM058515.1.1453,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,order,135619,Oceanospirillales,JCNU01000004.346130.347657,,,,,,,,,,323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,phylum,1239,Firmicutes,JF514886.1.1266,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,9.0,,
422,genus,551771,Vulcanibacillus,JJIU01000002.688660.690196,,,,,,,,,,1128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,superkingdom_,1783272,Terrabacteria group,JN048936.1.1284,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,class,204432,Acidobacteriia,LK028559.366790.368303,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,phylum,1239,Firmicutes,NR_024684.1,,,,,,,,,,3122.0,,,661.0,,,,,,,,1678.0,,,3568.0,435.0,,,,,,,,,,,2598.0,,,,,,,,,2179.0,,,,,,,,,1007.0,,,,404.0,,,,,,,,630.0,,,,,,,,,,,,,,,,,,,,,,,,,3342.0,974.0,,,,,,,,
426,superkingdom,2,Bacteria,NR_028961.1,,,,,,,,,,1725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4039.0,7002.0,,,,,,,3745.0,,,,,6762.0,,,,,,,,,,,,,,,,,,,,,,,,,,1627.0,,,,,,,,,,,13175.0,,,,,,,,
427,superkingdom_,1783272,Terrabacteria group,NR_043656.1,,,,,,,,,,1.0,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,superkingdom_,1783272,Terrabacteria group,NR_104768.1,,,,,,,,,,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,phylum,1239,Firmicutes,NR_113029.1,,,,,,,,,,7.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
430,genus,1434702,Taibaiella,NR_113208.1,,,,,,,,,,5613.0,,,,,,,,,,,,,,,,,,,,,3703.0,,3159.0,,,,4304.0,,2179.0,,,,,,,,,2379.0,,,786.0,,,,,,,,,,,,,,,,,,,573.0,,,,,,,,,,,,5631.0,2575.0,,,,,,,,,,,,1351.0,,,,,
431,genus,12916,Acidovorax,NR_113328.1,,,,,,,,,,2257.0,,2837.0,1490.0,,2483.0,,336.0,3774.0,,,,845.0,,,,1873.0,,,,,,,,,,,,,,2268.0,1435.0,,,,1061.0,5091.0,,573.0,,,,,,,386.0,,89.0,,2441.0,,920.0,,,,,690.0,,405.0,,,,,,,1835.0,3671.0,,,,,,,40.0,,,705.0,157.0,1431.0,,,,,893.0,,,,1634.0,235.0,,
432,phylum,1239,Firmicutes,NR_116346.1,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,superkingdom,2,Bacteria,AB036760.1.1411,,,,,,,,,,,5.0,,,,,,,,,,,4.0,,,,,,23.0,,,8.0,,7.0,,12.0,,,16.0,,,,,,8.0,,,,,,,,,,,12.0,,8.0,,1.0,,,,,,8.0,,,,,,,,,,,,,,3.0,,,,,,8.0,,7.0,,,11.0,,,,16.0,,,,,,
434,superkingdom_,1783272,Terrabacteria group,AB640689.1.1473,,,,,,,,,,,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,genus,551771,Vulcanibacillus,AB679109.1.1520,,,,,,,,,,,144.0,87.0,,,,,,,,,,,,,,,,,,,,42.0,,,,66.0,,,,,,,,,,,,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.0,,,,,117.0,,,,,,,,,,,,,,,,,,
436,genus,1434702,Taibaiella,ABFK02000017.223676.225190,,,,,,,,,,,1949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,,,,,,,,,,11.0,,,,,,
437,phylum,1239,Firmicutes,AF320283.1.1488,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,superkingdom,2,Bacteria,AFBR01000011.16.1532,,,,,,,,,,,302.0,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,superkingdom,2,Bacteria,AGXS01000026.294285.295795,,,,,,,,,,,3462.0,,,569.0,,,,,,,,,,1657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,genus,1434702,Taibaiella,ARBY01000031.3757.5268,,,,,,,,,,,425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,superkingdom,2,Bacteria,ARMK01000003.40.1327,,,,,,,,,,,774.0,,,,,,,,1483.0,,,,,,,,,,,288.0,,1813.0,,,,,,,,,,,,,,,,,,,,,,,,780.0,,,,,,,,,,,,,,,,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,genus,551771,Vulcanibacillus,ASVU01000001.1299195.1300741,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,genus,1434702,Taibaiella,AY560020.1.1493,,,,,,,,,,,197.0,,,,6.0,,,,,,,,,,,,290.0,,,,,,,,,,,,,,,,,,,583.0,,,,,617.0,,,,,,,,,,,,,,,,,691.0,,,,,,,,,,,440.0,,,,,,,,,,,,,,,,,,,,,
444,genus,551771,Vulcanibacillus,AY850118.1.1395,,,,,,,,,,,2257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,genus,551771,Vulcanibacillus,AY879306.1.1517,,,,,,,,,,,48.0,,,,,207.0,,,,84.0,,457.0,,,,,,381.0,,,,,,,345.0,,,,,,,,,,,254.0,,,,,,,,,,,428.0,,,,,,,,287.0,,,,,,,,,,,,,,79.0,,,,,,138.0,,,,,,,,,,,,,120.0,,
446,genus,551771,Vulcanibacillus,AZJE01000017.49865.51385,,,,,,,,,,,64.0,,,,,1108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,superkingdom,2,Bacteria,BAIW01000188.173.1680,,,,,,,,,,,2092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,superkingdom,2,Bacteria,CP002352.203874.205386,,,,,,,,,,,709.0,,,,59.0,,,,,,,,,,,,,,,,,1721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,
449,genus,1434702,Taibaiella,CP007034.1591211.1592751,,,,,,,,,,,3032.0,,,,3924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,order,85006,Micrococcales,D89378.1.1513,,,,,,,,,,,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,superkingdom_,1783272,Terrabacteria group,EF028684.1.1367,,,,,,,,,,,151.0,,,,,,,,,,,,,,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,superkingdom,2,Bacteria,FQ312004.5291501.5293033,,,,,,,,,,,627.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,superkingdom_,1783272,Terrabacteria group,GQ422749.1.1501,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
454,superkingdom,2,Bacteria,HQ661832.1.1341,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,order,85006,Micrococcales,JDUW01000049.7.1427,,,,,,,,,,,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,order,135619,Oceanospirillales,JTBE01000011.599155.600708,,,,,,,,,,,434.0,,,243.0,,,,,,,,,201.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,genus,551771,Vulcanibacillus,NR_025230.1,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,26.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,superkingdom,2,Bacteria,NR_028866.1,,,,,,,,,,,1455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4207.0,,,,,,,,,,,,,,,,,,,,,,,
459,genus,551771,Vulcanibacillus,NR_029101.1,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,
460,superkingdom,2,Bacteria,NR_041340.1,,,,,,,,,,,861.0,,,,,1140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.0,,,,,1360.0,186.0,363.0,,,,,,,250.0,,,,,1032.0,,,,,,593.0,,,,,,,,,,,62.0,,,,,,
461,superkingdom,2,Bacteria,NR_074436.1,,,,,,,,,,,315.0,,,,,,708.0,,,,,,,,,,,,,797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,1597.0,,,,,,372.0,,,,,,,,,,,,
462,phylum,1239,Firmicutes,NR_074629.1,,,,,,,,,,,350.0,,,,,,,,,,,,,,,291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,genus,1434702,Taibaiella,NR_113064.1,,,,,,,,,,,817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,phylum,1224,Proteobacteria,NR_118142.1,,,,,,,,,,,1913.0,,,,,,,,,,598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,608.0,,,,,,,,,,,477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,superkingdom,2,Bacteria,NR_126195.1,,,,,,,,,,,105.0,269.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,271.0,,,,,,,65.0,,153.0,,,,,106.0,,,,
466,order,135619,Oceanospirillales,U80199.1.1458,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,genus,551771,Vulcanibacillus,AB366385.1.1567,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,phylum,1239,Firmicutes,AB971812.1.1488,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,genus,376488,Halotalea,AE017143.1604540.1606076,,,,,,,,,,,,176.0,,715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,genus,551771,Vulcanibacillus,AEDS01000059.61.1570,,,,,,,,,,,,30.0,,,,,,,,,,,,,,18.0,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,
471,order,135619,Oceanospirillales,AKCF01000001.907302.908821,,,,,,,,,,,,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,genus,551771,Vulcanibacillus,AM940225.1.1531,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,genus,551771,Vulcanibacillus,ARCA01000059.1.1389,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.0,,,,,,,359.0,,,,,,,,,,,,,,,,,,,
474,genus,551771,Vulcanibacillus,AUAL01000024.32266.33768,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,superkingdom,2,Bacteria,AY271254.1.1433,,,,,,,,,,,,43.0,,,,,,721.0,,,,829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.0,,,,,,1029.0,,,,,,,,,,,,70.0,,,,,,,
476,superkingdom,2,Bacteria,GU086206.1.1483,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,
477,genus,551771,Vulcanibacillus,HQ646364.1.1477,,,,,,,,,,,,174.0,110.0,,54.0,,,,35.0,,,,,75.0,,124.0,,,,43.0,,,,26.0,,,,,,,,,,,29.0,,,,,,9.0,,,50.0,,,,,,,99.0,,57.0,,,,,,,,,,,4.0,,,72.0,,,,,,,,19.0,,,22.0,,,,,,,,,47.0,,,
478,order,85006,Micrococcales,JDTR01000027.2385.3887,,,,,,,,,,,,850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,genus,1434702,Taibaiella,JF824799.1.1423,,,,,,,,,,,,1682.0,,,,,,,,,1922.0,,,,,,,,,,,597.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2689.0,,135.0,,,3310.0,,,,,,,,,,435.0,,,,,1398.0,,,,,,,,,,,,,,,4682.0,,
480,genus,1434702,Taibaiella,JNHP01000005.55.1565,,,,,,,,,,,,1216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,genus,551771,Vulcanibacillus,KJ765726.1.1440,,,,,,,,,,,,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,genus,551771,Vulcanibacillus,NG_041947.1,,,,,,,,,,,,741.0,,,,,,484.0,,,,,,,,,,,,,,,746.0,,,,,,,,,,,,,,,,,,,,,,529.0,,,,,,,,,,,,,,,,,,,,,,,,1588.0,,,,,,,,,,,,,,,,,,,501.0,,
483,phylum,1224,Proteobacteria,NR_036969.1,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
