,RDP_10398,RDP_5224,RDP_1017,RDP_92,RDP_12
CC11CM85,6.740440741054058,6.490842568310635,6.9558835969884125,6.9873530158193065,6.988748836815838
CC11CM86,6.416035353535354,6.42275578364288,6.776779895731507,6.94198028673835,6.949250570218312
CC11CM87,6.6588367146222645,6.666247341094669,6.666247341094669,6.950184122046615,6.969625580384713
CC11CM88,6.699769575772538,6.699769575772538,6.699769575772538,6.953195078796856,6.97989960087232
CC11CM89,6.5970683767802125,5.890105771633215,5.890105771633215,6.753227284084285,6.794203381360874
CC11CM90,6.91636657146405,6.967631110559211,6.968645225381844,6.968645225381844,6.987892710791009
CC11CM91,6.70514019662863,6.730726860801065,6.730726860801065,6.951216977406415,7.023508137432189
CC11CM92,6.753193830355143,6.753193830355143,6.9302145520487395,6.9351046272336445,6.986715295747673
CC11CM93,6.346663629209294,6.670090709522428,6.914633641221058,6.914633641221058,6.931077330903367
CC11CM94,6.925617957106505,6.925617957106505,7.018311523082514,7.03346510359869,7.019129407488185
CC11CM95,6.468835085661625,6.392807774473252,6.662715201273403,6.888409500272273,6.947932811125536
CC11CM96,5.707105252248891,5.743543506197406,6.001015628238611,6.283443186999959,6.776665423040252
CC11CM97,6.685759882680241,6.895145463564021,6.980676745239278,6.980676745239278,6.980676745239278
CC11CM98,6.4492846329346065,6.4492846329346065,6.586750250538392,6.91566984370669,6.9303609885072195
CC11CM99,6.91409942606347,6.91409942606347,6.91409942606347,6.970311444969615,6.970311444969615
