,RDP_10398,RDP_5224,RDP_1017,RDP_92,RDP_12
CC11CM81,4.570973603086785,4.50972786476941,4.50972786476941,0.0,0.0
CC11CM82,0.90467159331197,0.90467159331197,0.03705883635253853,0.0,0.0
CC11CM83,9.059556702902205,8.712663614545308,7.159981465439087,0.10453732183422794,0.0
CC11CM84,3.485885372112917,3.2763045337895638,1.9332763045337895,0.11760015945784333,0.0
CC11CM85,3.6904661196176303,7.256154301666526,0.5477539971237627,0.023263683275526605,0.0
CC11CM86,8.327223851417397,8.215216682958618,2.7533398501140436,0.0,0.0
CC11CM87,4.8557901237391645,4.732279682532421,4.732279682532421,0.0,0.0
CC11CM88,4.223758383738633,4.223758383738633,4.223758383738633,0.0,0.0
CC11CM89,3.2855834096776877,15.068293495460983,15.068293495460983,0.648682857368879,0.0
CC11CM9,6.264562270802521,3.415928844946006,3.334886642218936,0.0,0.0
CC11CM90,1.1921023221159817,0.3352787780951198,0.3207914234860714,0.3207914234860714,0.0
CC11CM91,4.211095175739437,3.8411174159755563,3.8411174159755563,0.16624067493714023,0.0
CC11CM92,3.4638032559750607,3.4638032559750607,0.5134578944151267,0.5109592651919139,0.0
CC11CM93,8.696102389926686,4.075715528310483,0.0,0.0,0.0
CC11CM94,1.55852417302799,1.55852417302799,0.013631406761177755,0.0,0.0
CC11CM95,6.597411301470279,7.864533154609809,4.008712771750513,0.2471411217693629,0.0
CC11CM96,17.456369439953573,16.849065207478343,12.92749658002736,8.22037060067156,0.0
CC11CM97,0.0,0.0,0.0,0.0,0.0
CC11CM98,7.445787756668586,7.445787756668586,5.48199321947163,0.0,0.0
CC11CM99,0.936866981769075,0.936866981769075,0.936866981769075,0.0,0.0
